,version,month,sentiment_score,month_name
211,27,9,-0.0125,September
7308,27,9,0,September
213,27,9,0.28,September
300,27,9,-0.156944444,September
7218,27,9,0.466666667,September
297,27,9,-0.155357143,September
295,27,9,0.016666667,September
292,27,9,0.210416667,September
7336,27,9,0.55,September
830,27,9,0.312813853,September
298,27,9,0.066666667,September
7190,27,9,0.25,September
93,27,9,0.086111111,September
284,27,9,-0.208333333,September
7330,27,9,0.433333333,September
279,27,9,0.337784091,September
278,27,9,-0.228333333,September
7329,27,9,1,September
7328,27,9,0.275,September
7327,27,9,0.6,September
7333,27,9,0,September
7334,27,9,0.5,September
331,27,9,0.1375,September
330,27,9,-0.1,September
7353,27,9,0.55,September
325,27,9,0.3125,September
7340,27,9,0.65,September
96,27,9,0.138888889,September
7354,27,9,0.91,September
4,27,9,0.087037037,September
5,27,9,-0.108571429,September
7346,27,9,0.2,September
7345,27,9,0.545,September
308,27,9,-0.155,September
307,27,9,0.222222222,September
7324,27,9,0.695,September
7347,27,9,0.7,September
7326,27,9,0.6,September
241,27,9,-0.013968254,September
238,27,9,0.454636364,September
237,27,9,0.275925926,September
7323,27,9,0.39,September
7322,27,9,1,September
274,27,9,0.032342657,September
266,27,9,0.048611111,September
315,27,9,0.321666667,September
233,27,9,0.199888889,September
225,27,9,-0.1,September
224,27,9,0.271428571,September
223,27,9,-0.53,September
220,27,9,0.288839286,September
234,27,9,0.275,September
217,27,9,-0.25,September
214,27,9,0.1,September
245,27,9,0.271428571,September
270,27,9,-0.375,September
231,27,9,-0.07739899,September
232,27,9,-0.089285714,September
216,27,9,0.207142857,September
11952,27,9,0.35,September
11954,27,9,0,September
11956,27,9,0.35,September
260,27,9,0.031111111,September
259,27,9,0.16,September
258,27,9,0.454166667,September
255,27,9,-0.1775,September
7317,27,9,0.425,September
249,27,9,-0.204545455,September
248,27,9,0.086111111,September
7316,27,9,-0.125,September
254,27,9,0.000763889,September
250,27,9,0.044444444,September
11955,27,9,1,September
7320,27,9,0,September
11958,27,9,0.8,September
11959,27,9,0.9,September
11960,27,9,0.35,September
834,27,9,0.023333333,September
11962,27,9,0.35,September
11953,27,9,0,September
11963,27,9,0.35,September
11965,27,9,0.35,September
7321,27,9,0.7,September
833,27,9,0.173125,September
11968,27,9,-0.4,September
11970,27,9,-0.3,September
11972,27,9,0,September
11973,27,9,0,September
11964,27,9,0.5,September
7348,27,9,0.8,September
600,27,9,0.45,September
11967,27,9,0.1,September
229,27,9,0.167857143,September
11976,27,9,0.2,September
11828,27,9,0.7,September
11926,27,9,1,September
11927,27,9,0.8,September
11928,27,9,1,September
11929,27,9,0.7,September
11930,27,9,0.8,September
843,27,9,-0.291666667,September
842,27,9,0.01031746,September
11945,27,9,0.35,September
11933,27,9,0.7,September
11935,27,9,0.2,September
841,27,9,0.526666667,September
839,27,9,0.166666667,September
11131,27,9,0,September
11939,27,9,0.8,September
11940,27,9,0.39,September
11942,27,9,0.7,September
11943,27,9,1,September
11934,27,9,0.8,September
7627,27,9,0.2,September
11951,27,9,0.35,September
11944,27,9,1,September
11946,27,9,0.7,September
844,27,9,0.2375,September
829,27,9,0.35,September
826,27,9,0.168333333,September
7622,27,9,0.3,September
11947,27,9,0.6,September
11854,27,9,0.2,September
7621,27,9,-0.335714286,September
7623,27,9,0.168181818,September
827,27,9,-0.233333333,September
11980,27,9,0,September
11993,27,9,0,September
11981,27,9,0.2,September
11984,27,9,0.65,September
11985,27,9,0.8,September
11986,27,9,0.6,September
11987,27,9,1,September
11988,27,9,0.8,September
11989,27,9,0.8,September
11990,27,9,0.7,September
11991,27,9,0.7,September
7391,27,9,1,September
11983,27,9,0.8,September
11950,27,9,0,September
11992,27,9,0.2,September
7624,27,9,0.4,September
11924,27,9,0.7,September
11995,27,9,0,September
11994,27,9,0,September
11923,27,9,0.7,September
11845,27,9,0.7,September
11846,27,9,0.7,September
859,27,9,0.402380952,September
11848,27,9,0.8,September
11849,27,9,0.7,September
11850,27,9,0.7,September
11851,27,9,0.2,September
11922,27,9,0,September
11948,27,9,-0.3,September
11853,27,9,0.7,September
11855,27,9,1,September
11859,27,9,0.8,September
857,27,9,-0.065740741,September
11861,27,9,0.6,September
856,27,9,0.325,September
11863,27,9,0.8,September
11864,27,9,0.7,September
11865,27,9,0.7,September
11824,27,9,0.475,September
11866,27,9,0,September
11858,27,9,0.7,September
11867,27,9,0,September
11840,27,9,0.5,September
11817,27,9,0.266942149,September
11818,27,9,0.146527778,September
11819,27,9,-0.3,September
11820,27,9,0.6,September
11821,27,9,1,September
11822,27,9,-0.15,September
11843,27,9,0.8,September
11856,27,9,0.39,September
11842,27,9,0.6,September
11903,27,9,0.7,September
11857,27,9,0.8,September
864,27,9,0.425,September
11829,27,9,0.7,September
11830,27,9,0.8,September
862,27,9,0.148148148,September
11832,27,9,0.5,September
11833,27,9,0.4875,September
11834,27,9,0,September
11826,27,9,0.8,September
11836,27,9,0.5,September
11823,27,9,0.583333333,September
11838,27,9,0.433333333,September
11841,27,9,0.8,September
11868,27,9,0.7,September
11869,27,9,0.7,September
11870,27,9,0,September
11899,27,9,0.39,September
11900,27,9,0.8,September
11901,27,9,0.8,September
11837,27,9,0.7,September
11902,27,9,0.7,September
11839,27,9,0.7,September
863,27,9,0.395357143,September
11905,27,9,0.8,September
11876,27,9,0.7,September
11908,27,9,0.8,September
849,27,9,0.2,September
